"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
"Chilean Tinamou","Nothoprocta perdicaria",,"Peter Boesman",2018-12-01,13:00,"Lago Colbún, VII Región",Chile,-35.697014,-71.223984,,Call,,,450010,//creativecommons.org/licenses/by-nc-nd/4.0/
"Chilean Tinamou","Nothoprocta perdicaria",perdicaria,"Daniel González Amat",2009-08-16,20:00,"Mahuida, La Reina, Santiago",Chile,-33.454933,-70.517464,800,Call,"Night Sound, Chilean name: Perdiz Chilena More info: link:http://www.conserva.cl/",,37884,//creativecommons.org/licenses/by-nc-nd/2.5/
"Chilean Tinamou","Nothoprocta perdicaria",,"Doug Knapp",2007-09-29,17:00,"PN La Campana",Chile,-32.9809,-71.1289,400,Call,"More coming soon . . .",,15292,//creativecommons.org/licenses/by-nc-nd/2.5/
"Puna Tinamou","Tinamotis pentlandii",,"Cristian Pinto",2019-08-02,10:00,"Guacoyo,  Parinacota, Región de Arica y Parinacota",Chile,-17.7311,-69.3957,4100,"alarm call, call","bird-seen:yes playback-used:no",,492761,//creativecommons.org/licenses/by-nc-sa/4.0/
"Puna Tinamou","Tinamotis pentlandii",,"Cristian Pinto",2019-08-02,10:00,"Guacoyo,  Parinacota, Región de Arica y Parinacota",Chile,-17.7311,-69.3957,4100,"alarm call, call","bird-seen:yes playback-used:no",,492760,//creativecommons.org/licenses/by-nc-sa/4.0/
"Puna Tinamou","Tinamotis pentlandii",,"Alvaro Jaramillo",2004-11-15,?:?,"Parque Nacional Lauca-Las Cuevas, I Region",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,60188,//creativecommons.org/licenses/by-nc-nd/2.5/
"Puna Tinamou","Tinamotis pentlandii",,"Alvaro Jaramillo",1997-11-19,?:?,"Parque Nacional Lauca,  I Region",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,60186,//creativecommons.org/licenses/by-nc-nd/2.5/
"Puna Tinamou","Tinamotis pentlandii",,"Alvaro Jaramillo",1997-11-19,?:?,"Parque Nacional Lauca,  I Region",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,60187,//creativecommons.org/licenses/by-nc-nd/2.5/
"Coscoroba Swan","Coscoroba coscoroba",,"Lance A. M. Benner",2017-04-04,16:16,"Laguna Santa Maria, Porvenir, Tierra del Fuego, Región de Magallanes y de la Antártica Chilena",Chile,-53.388,-70.3363,0,call,"Recorded in windy conditions at a range of about 15 meters while we were in a car.   We kept the microphone inside the car but aimed it through an open window, thus using the car as a windscreen. Habitat: shore of a large lagoon with low brush and very few trees.Equipment: Sony PCM-M10 and a Sennheiser ME67.Edits to the file: trimmed at both ends and normalized to -3 dB. bird-seen:yes playback-used:no",,368847,//creativecommons.org/licenses/by-nc-sa/4.0/
"Coscoroba Swan","Coscoroba coscoroba",,"Andrew Spencer",2011-10-26,07:10,"Laguna Verde, Porvenir, XII Region",Chile,-53.162,-70.3948,40,call,"calls from one a pair as it was swimming away from me and the other of the pair.",,89450,//creativecommons.org/licenses/by-nc-nd/2.5/
"Coscoroba Swan","Coscoroba coscoroba",,"Rodrigo Tapia",2007-06-02,08:30,"El Yali marsh, San Antonio, Valparaiso",Chile,,,0,call,"background noise filtered",,15771,//creativecommons.org/licenses/by-nc-nd/2.5/
"Coscoroba Swan","Coscoroba coscoroba",,"Daniel González Amat",2007-04-19,14:30,"Wetland El Yali, Las Salinas Quinta Region",Chile,-33.781716,-71.727676,20,"alarm call",,,12653,//creativecommons.org/licenses/by-nc-nd/2.5/
"Coscoroba Swan","Coscoroba coscoroba",,"Peter Boesman",2018-12-11,16:00,"Porvenir, XII Región",Chile,-53.300301,-70.365499,,Call,,,449888,//creativecommons.org/licenses/by-nc-nd/4.0/
"Coscoroba Swan","Coscoroba coscoroba",,"Alvaro Jaramillo",2004-01-23,?:?,"Laguna Santa Maria, Region de Magallanes",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,60140,//creativecommons.org/licenses/by-nc-nd/2.5/
"Coscoroba Swan","Coscoroba coscoroba",,"Alvaro Jaramillo",2004-01-23,?:?,"Laguna Santa Maria, Region de Magallanes",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,60139,//creativecommons.org/licenses/by-nc-nd/2.5/
"Coscoroba Swan","Coscoroba coscoroba",,"Doug Knapp",2007-12-09,10:00,"Wetland El Yali, Las Salinas Quinta Region",Chile,-33.781716,-71.727676,30,Song,"About a dozen indiv. with 3-4 sounding.",,16433,//creativecommons.org/licenses/by-nc-nd/2.5/
"Coscoroba Swan","Coscoroba coscoroba",,"Daniel González Amat",2007-04-26,9:10,"Wetland Batuco, Batuco, Región Metropolitana",Chile,-33.2428,-70.8234,500,call,,"Anas georgica,Mareca sibilatrix,Milvago chimango",13053,//creativecommons.org/licenses/by-nc-nd/2.5/
"Coscoroba Swan","Coscoroba coscoroba",,"Daniel González Amat",2007-04-26,10:25,"Wetland Batuco, Batuco, Región Metropolitana",Chile,-33.2428,-70.8234,500,call,,"Anas georgica,Mareca sibilatrix",13052,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black-necked Swan","Cygnus melancoryphus",,"Cristian Pinto",2011-08-20,09:30,"Estero San Sebastián, San Antonio, Región de Valparaíso",Chile,-33.5313,-71.5993,10,"adult, alarm call, call, female, male","DSC_2236 - Cisne de Cuello Negro - SN SB.wav bird-seen:yes playback-used:no",,571008,//creativecommons.org/licenses/by-nc-sa/4.0/
"Black-necked Swan","Cygnus melancoryphus",,"Peter Boesman",2018-12-06,09:00,"Laguna de Santa Elena, Quillón",Chile,-36.802422,-72.382352,,Call,,,449901,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-necked Swan","Cygnus melancoryphus",,"Peter Boesman",2018-12-06,08:30,"Laguna de Santa Elena, Quillón",Chile,-36.802422,-72.382352,,Call,,,449900,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-necked Swan","Cygnus melancoryphus",,"Peter Boesman",2018-12-06,08:00,"Laguna de Santa Elena, Quillón",Chile,-36.802422,-72.382352,,Call,,,449899,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-necked Swan","Cygnus melancoryphus",,"Bernabe Lopez-Lanus",0000-00-00,pm,Yali,Chile,,,?,"Wings beats & call",,,48076,//creativecommons.org/licenses/by-nc-sa/3.0/
"Black-necked Swan","Cygnus melancoryphus",,"Peter Boesman",2018-12-06,08:00,"Laguna de Santa Elena, Quillón",Chile,-36.802422,-72.382352,,Call,,,449898,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-necked Swan","Cygnus melancoryphus",,"Peter Boesman",2018-12-04,12:00,"Chacao, Chiloé, X Región",Chile,-41.82632,-73.526489,,Call,,,449897,//creativecommons.org/licenses/by-nc-nd/4.0/
"Black-necked Swan","Cygnus melancoryphus",,"Bernabe Lopez-Lanus",2006-09-23,?:?,"Yali, Santo Domingo, V Region",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,52078,//creativecommons.org/licenses/by-nc-sa/3.0/
"Black-necked Swan","Cygnus melancoryphus",,"Andrew Spencer",2010-02-05,16:00,"Chacao, Chiloe, X Region",Chile,,,0,call,"call from an adult near a young cygnet",,44456,//creativecommons.org/licenses/by-nc-nd/2.5/
"Black-necked Swan","Cygnus melancoryphus",,"Doug Knapp",2007-09-15,10:00,"Rio Yali",Chile,-33.6226,-71.6292,00,Wingbeats,"Pair flew straight overhead.","Sicalis luteola",15127,//creativecommons.org/licenses/by-nc-nd/2.5/
"Flying Steamer Duck","Tachyeres patachonicus",,"Peter Boesman",2018-12-12,06:30,"Porvenir, XII Región",Chile,-53.300301,-70.365499,,Call,,,450175,//creativecommons.org/licenses/by-nc-nd/4.0/
"Flying Steamer Duck","Tachyeres patachonicus",,"Ross Gallardy",2015-04-15,10:00,"Laguna Verde, Porvenir, XII Region",Chile,-53.162,-70.395,10,"call, song","song and calls from pair. High pitched calls from male. Grunts from female. bird-seen:yes playback-used:no",,295913,//creativecommons.org/licenses/by-nc-sa/4.0/
"Flying Steamer Duck","Tachyeres patachonicus",,"Ross Gallardy",2015-04-15,10:00,"Laguna Verde, Porvenir, XII Region",Chile,-53.162,-70.395,10,"call, song","song and calls from pair. High pitched calls from male. Grunts from female. bird-seen:yes playback-used:no",,295911,//creativecommons.org/licenses/by-nc-sa/4.0/
"Flying Steamer Duck","Tachyeres patachonicus",,"Ross Gallardy",2015-04-15,10:00,"Laguna Verde, Porvenir, XII Region",Chile,-53.162,-70.395,10,"call, song","song and calls from pair. High pitched calls from male. Grunts from female. bird-seen:yes playback-used:no",,295910,//creativecommons.org/licenses/by-nc-sa/4.0/
"Flying Steamer Duck","Tachyeres patachonicus",,"Ross Gallardy",2015-04-15,10:00,"Laguna Verde, Porvenir, XII Region",Chile,-53.162,-70.395,10,"call, song","song and calls from pair. High pitched calls from male. Grunts from female. bird-seen:yes playback-used:no",,295909,//creativecommons.org/licenses/by-nc-sa/4.0/
"Flying Steamer Duck","Tachyeres patachonicus",,"Peter Boesman",2018-12-12,06:30,"Porvenir, XII Región",Chile,-53.300301,-70.365499,,Call,,,450176,//creativecommons.org/licenses/by-nc-nd/4.0/
"Flying Steamer Duck","Tachyeres patachonicus",,"Peter Boesman",2018-12-11,16:00,"Porvenir, XII Región",Chile,-53.300301,-70.365499,,Call,"Very windy!","Coscoroba coscoroba",450174,//creativecommons.org/licenses/by-nc-nd/4.0/
"Fuegian Steamer Duck","Tachyeres pteneres",,"Peter Boesman",2018-12-05,12:00,"Estero Caulin, Chiloé, X Región",Chile,-41.823638,-73.62141,,Call,,,450177,//creativecommons.org/licenses/by-nc-nd/4.0/
"Fuegian Steamer Duck","Tachyeres pteneres",,"Peter Boesman",2018-12-05,12:00,"Estero Caulin, Chiloé, X Región",Chile,-41.823638,-73.62141,,Call,,"Cinclodes patagonicus",450178,//creativecommons.org/licenses/by-nc-nd/4.0/
"Fuegian Steamer Duck","Tachyeres pteneres",,"Ross Gallardy",2015-04-15,15:00,"Porvenir, Región de Magallanes y de la Antártica Chilena",Chile,-53.4609,-70.154,10,call,"bird-seen:yes playback-used:no",,295930,//creativecommons.org/licenses/-nc-sa/4.0/
"Fuegian Steamer Duck","Tachyeres pteneres",,"Ross Gallardy",2015-04-15,15:00,"Porvenir, Región de Magallanes y de la Antártica Chilena",Chile,-53.4609,-70.154,10,call,"bird-seen:yes playback-used:no",,295929,//creativecommons.org/licenses/by-nc-sa/4.0/
"Fuegian Steamer Duck","Tachyeres pteneres",,"Jacob Socolar",2010-01-03,?,"just west of Puerto Williams",Chile,-54.913,-67.59,0,call,,,43011,//creativecommons.org/licenses/by-nc-nd/2.5/
"Andean Goose","Chloephaga melanoptera",,"Cristian Pinto",2019-08-02,10:00,Visviri,Chile,-17.5951,-69.4802,4100,"alarm call, call, female, flight call, male","bird-seen:yes playback-used:no",,498318,//creativecommons.org/licenses/-nc-sa/4.0/
"Andean Goose","Chloephaga melanoptera",,"Cristian Pinto",2019-05-18,10:30,"Tranque La Cadellada, Batuco, Región Metropolitana",Chile,-33.2051,-70.788,500,"alarm call, call","bird-seen:yes playback-used:no",,475627,//creativecommons.org/licenses/by-nc-sa/4.0/
"Andean Goose","Chloephaga melanoptera",,"Cristian Pinto",2019-05-18,12:00,"Tranque La Cadellada, Batuco, Región Metropolitana",Chile,-33.2051,-70.788,500,"alarm call, call, flight call","A pair emit these call, one of them with a deep bass notes and the other geese, a high pitched call. Such interesting dialogue.bird-seen:yes playback-used:no",,475625,//creativecommons.org/licenses/by-nc-sa/4.0/
"Andean Goose","Chloephaga melanoptera",,"Andrew Spencer",2011-11-20,08:15,"Parinacota, Parque Nacional Lauca, XV Region",Chile,-18.209,-69.273,4400,call,"calls from a pair of birds, given as I was walking towards them.  The farting noises at 3, 4, and 6s are not from the recordist, I assure you!",,90524,//creativecommons.org/licenses/by-nc-nd/2.5/
"Andean Goose","Chloephaga melanoptera",,"Andrew Spencer",2011-11-20,08:15,"Parinacota, Parque Nacional Lauca, XV Region",Chile,-18.209,-69.273,4400,call,"calls from a pair of birds, given as I was walking towards them.",,90523,//creativecommons.org/licenses/by-nc-nd/2.5/
"Andean Goose","Chloephaga melanoptera",,"Andrew Spencer",2011-11-20,08:15,"Parinacota, Parque Nacional Lauca, XV Region",Chile,-18.209,-69.273,4400,call,"calls from a pair of birds, given as I was walking towards them.",,90522,//creativecommons.org/licenses/by-nc-nd/2.5/
"Andean Goose","Chloephaga melanoptera",,"Doug Knapp",2008-02-22,07:00,"Embalse El Yeso",Chile,-33.6109,-69.9884,2800,"Alarm notes","3 birds sounded and flushed after my arrival. Bos taurus (Sorry, couldn't erase it!)",,17918,//creativecommons.org/licenses/by-nc-nd/2.5/
"Andean Goose","Chloephaga melanoptera",,"Alvaro Jaramillo",2001-07-30,?:?,"Parque Nacional Lauca, Parinacota, I Region",Chile,,,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,59970,//creativecommons.org/licenses/by-nc-nd/2.5/
"Andean Goose","Chloephaga melanoptera",,"Guillermo Egli",1978-09-00,?:?,"Parque Nacional Lauca, I Region",Chile,,,?,call,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,53871,//creativecommons.org/licenses/by-nc-nd/2.5/
"Andean Goose","Chloephaga melanoptera",,"Daniel González Amat",2010-06-08,07:30,"Wetland Batuco, Batuco, Región Metropolitana",Chile,-33.2428,-70.8234,600,"alarm call",,,54861,//creativecommons.org/licenses/by-nc-nd/2.5/
"Andean Goose","Chloephaga melanoptera",,"Fabrice Schmitt",2006-08-27,?,"Estero Lampa",Chile,-33.262,-70.8114,450,call,"calls of flying birds",,19483,//creativecommons.org/licenses/by-nc-nd/2.5/
"Andean Goose","Chloephaga melanoptera",,"Daniel González Amat",2010-06-08,08:30,"Wetland Batuco, Batuco, Región Metropolitana",Chile,-33.2428,-70.8234,600,"alarm call",,,54862,//creativecommons.org/licenses/by-nc-nd/2.5/
"Upland Goose","Chloephaga picta",,"Lance A. M. Benner",2017-04-04,09:27,"Primavera, Tierra del Fuego, Región de Magallanes y de la Antártica Chilena",Chile,-52.8781,-69.3608,90,call,"Vocalizations made while the birds were in flight.   The birds were approaching when the recording begins, flew directly over me at a height of about 30 meters, and then landed roughly 200 meters away.Equipment: Sony PCM-M10 and a Sennheiser ME67.Edits to the file: trimmed at both ends and normalized to -3 dB. bird-seen:yes playback-used:no",,368846,//creativecommons.org/licenses/by-nc-sa/4.0/
"Upland Goose","Chloephaga picta",,"Ross Gallardy",2015-04-12,08:00,"Punta Arenas, Región de Magallanes y de la Antártica Chilena, Región de Magallanes y de la Antártica Chilena",Chile,-52.719,-71.0511,20,call,"bird-seen:yes playback-used:no",,295875,//creativecommons.org/licenses/by-nc-sa/4.0/
"Upland Goose","Chloephaga picta",picta,"Andrew Spencer",2011-10-28,11:00,"PN Torres del Paine, XII Region",Chile,-51.0289,-72.782,150,call,"calls from a flushing pair of birds; in this cut the female is giving multiple different low-pitched calls, including more strident ones towards the end of the cut.",,89436,//creativecommons.org/licenses/by-nc-nd/2.5/
"Upland Goose","Chloephaga picta",picta,"Andrew Spencer",2011-10-26,09:40,"Laguna Verde, Porvenir, XII Region",Chile,-53.162,-70.3948,50,call,"calls from a flushing pair of birds; in this recording the mic is focused on the female birding, giving the lower pitched grunts.",,89434,//creativecommons.org/licenses/by-nc-nd/2.5/
"Upland Goose","Chloephaga picta",,"Peter Boesman",2018-12-13,07:30,"Laguna Sofia, Puerto Natales, XII Región",Chile,-51.527087,-72.654529,,Call,,,449864,//creativecommons.org/licenses/by-nc-nd/4.0/
"Upland Goose","Chloephaga picta",,"Peter Boesman",2018-12-12,08:00,"Northern Tierra del Fuego, XII Región",Chile,-52.619502,-69.495084,,Call,,,449862,//creativecommons.org/licenses/by-nc-nd/4.0/
"Upland Goose","Chloephaga picta",,"Peter Boesman",2018-12-11,13:00,"Laguna Verde, Porvenir, XII Región",Chile,-53.203588,-70.298822,,Call,,,449861,//creativecommons.org/licenses/by-nc-nd/4.0/
"Upland Goose","Chloephaga picta",,"Peter Boesman",2018-12-11,13:00,"Laguna Verde, Porvenir, XII Región",Chile,-53.203588,-70.298822,,Call,"Calls when taking off",,449860,//creativecommons.org/licenses/by-nc-nd/4.0/
"Upland Goose","Chloephaga picta",picta,"Andrew Spencer",2011-10-26,09:40,"Laguna Verde, Porvenir, XII Region",Chile,-53.162,-70.3948,50,call,"calls from a flushing pair of birds; in this recording the mic is focused on the male bird, giving the higher-pitched whistles.",,89435,//creativecommons.org/licenses/by-nc-nd/2.5/
"Upland Goose","Chloephaga picta",,"Alvaro Jaramillo",2002-11-12,?:?,"Torres del Paine, XII Region",Chile,-50.9795,-72.8003,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,59971,//creativecommons.org/licenses/by-nc-nd/2.5/
"Upland Goose","Chloephaga picta",,"Peter Boesman",2018-12-14,20:30,"Torres del Paine, XII Región",Chile,-50.995604,-72.81741,,Call,,,449865,//creativecommons.org/licenses/by-nc-nd/4.0/
"Upland Goose","Chloephaga picta",,"Peter Boesman",2018-12-12,08:30,"Northern Tierra del Fuego, XII Región",Chile,-52.619502,-69.495084,,Call,,,449863,//creativecommons.org/licenses/by-nc-nd/4.0/
"Kelp Goose","Chloephaga hybrida",,"Ross Gallardy",2015-04-15,08:30,"Porvenir, Tierra del Fuego, XII Region",Chile,-53.297,-70.365,20,call,"bird-seen:yes playback-used:no",,295905,//creativecommons.org/licenses/by-nc-sa/4.0/
"Kelp Goose","Chloephaga hybrida",,"Andrew Spencer",2010-02-05,10:50,"Islotes de Puñihuil, X Region",Chile,-41.925462,-74.040728,0,call,"honking calls from a female bird, and whistled calls from a male.  Lots of ocean noise in the background.","Haematopus ater",44291,//creativecommons.org/licenses/by-nc-nd/2.5/
"Ashy-headed Goose","Chloephaga poliocephala",,"Andrew Spencer",2011-10-26,09:45,"Laguna Verde, Porvenir, XII Region",Chile,-53.162,-70.3948,50,call,"calls from a flushing trio of birds; extreme wind noise in the background.",,89433,//creativecommons.org/licenses/by-nc-nd/2.5/
"Ashy-headed Goose","Chloephaga poliocephala",,"Peter Boesman",2018-12-11,16:45,"Bahía Inutil, XII Región",Chile,-53.451824,-69.303966,,Call,"Call in flight",,449866,//creativecommons.org/licenses/by-nc-nd/4.0/
"Ruddy-headed Goose","Chloephaga rubidiceps",,"Andrew Spencer",2011-11-15,08:20,"Bahia Azul, XII Region",Chile,-52.53,-69.462,20,call,"calls from a flushing pair of birds; lots of wind noise in the background.",,90547,//creativecommons.org/licenses/by-nc-nd/2.5/
"Ruddy-headed Goose","Chloephaga rubidiceps",,"Andrew Spencer",2011-11-15,08:20,"Bahia Azul, XII Region",Chile,-52.53,-69.462,20,call,"calls from a flushing pair of birds; lots of wind noise in the background.",,90546,//creativecommons.org/licenses/by-nc-nd/2.5/
"Ruddy-headed Goose","Chloephaga rubidiceps",,"Andrew Spencer",2011-10-26,13:00,"Cerro Negro, Tierra del Fuego, XII Region",Chile,-52.612,-69.481,40,call,"calls from a flushing pair of birds, both apparently giving the male type whistle call",,89294,//creativecommons.org/licenses/by-nc-nd/2.5/
"Ruddy-headed Goose","Chloephaga rubidiceps",,"Andrew Spencer",2011-10-26,13:00,"Cerro Negro, Tierra del Fuego, XII Region",Chile,-52.612,-69.481,40,call,"natural vocalization; calls from a pair of birds when flushed, with the males giving the higher-pitched whistles and the female the quiet low pitched grunts.",,89293,//creativecommons.org/licenses/by-nc-nd/2.5/
"Crested Duck","Lophonetta specularioides",,"Cristian Pinto",2019-08-02,10:00,Visviri,Chile,-17.5951,-69.4802,4100,"alarm call, call, female, male","bird-seen:yes playback-used:no",,498316,//creativecommons.org/licenses/by-nc-sa/4.0/
"Crested Duck","Lophonetta specularioides",,"Ross Gallardy",2015-04-29,10:00,"Lago Chungara, PN Lauca, XV Region",Chile,-18.2501,-69.1742,4600,call,"bird-seen:yes playback-used:no",,296159,//creativecommons.org/licenses/by-nc-sa/4.0/
"Crested Duck","Lophonetta specularioides",,"Ross Gallardy",2015-04-15,08:30,"Porvenir, Tierra del Fuego, XII Region",Chile,-53.297,-70.365,20,call,"bird-seen:yes playback-used:no",,295903,//creativecommons.org/licenses/by-nc-sa/4.0/
"Crested Duck","Lophonetta specularioides",specularioides,"Andrew Spencer",2011-10-26,18:00,"Estancia San Gregorio, XII Region",Chile,-52.5709,-70.087,10,call,"calls from a pair of birds with three chicks, given as I approached them.",,90643,//creativecommons.org/licenses/by-nc-nd/2.5/
"Crested Duck","Lophonetta specularioides",,"GABRIEL LEITE",2020-01-10,07:00,"Puerto Natales, XII Region",Chile,-51.7211,-72.5084,0,"adult, call, female, male","bird-seen:yes playback-used:no",,521732,//creativecommons.org/licenses/by-nc-sa/4.0/
"Crested Duck","Lophonetta specularioides",,"Peter Boesman",2018-12-12,07:00,"Porvenir, XII Región",Chile,-53.300301,-70.365499,,Call,,,449989,//creativecommons.org/licenses/by-nc-nd/4.0/
"Crested Duck","Lophonetta specularioides",,"Ross Gallardy",2015-04-12,15:00,"Puerto Natales, XII Region",Chile,-51.7211,-72.5084,0,call,"bird-seen:yes playback-used:no",,295885,//creativecommons.org/licenses/by-nc-sa/4.0/
"Crested Duck","Lophonetta specularioides",,"Alvaro Jaramillo",2001-07-30,?:?,"Parinacota, XV Region",Chile,-18.2023,-69.2684,?,song,"<a href=http://www.xeno-canto.org/graphics/conosur.jpg rel=lightbox>From Bird Sounds of Southern South America by Lopez-Lanus (2008)</a>",,59913,//creativecommons.org/licenses/by-nc-nd/2.5/
"Bronze-winged Duck","Speculanas specularis",,"Andrew Spencer",2012-11-14,15:00,"PN Torres del Paine, XII Region",Chile,-51.029,-72.782,160,call,"calls from a pair of birds leading six young chicks on a small roadside pond.  The female bird is giving the quacks, and the male the wheezy whistles.bird-seen:yes playback-used:no",,115890,//creativecommons.org/licenses/by-nc-sa/3.0/
"Bronze-winged Duck","Speculanas specularis",,"Andrew Spencer",2011-11-09,17:30,"Lago Colbun, VII Region",Chile,-35.6937,-71.2228,400,call,"calls from a female bird flushing and then performing a distraction display while the male hid in some brush with three chicks.",,92061,//creativecommons.org/licenses/by-nc-nd/2.5/
"Bronze-winged Duck","Speculanas specularis",,"Andrew Spencer",2011-11-09,17:30,"Lago Colbun, VII Region",Chile,-35.6937,-71.2228,400,call,"calls from a pair of chicks separated from their parents.",,92060,//creativecommons.org/licenses/by-nc-nd/2.5/
"Bronze-winged Duck","Speculanas specularis",,"Andrew Spencer",2011-11-16,19:30,"PN Torres del Paine, XII Region",Chile,-51.0289,-72.782,150,call,"calls from a pair of birds (the quacks from the female, the whistles from the male) as they flushed upon my approach.",,90456,//creativecommons.org/licenses/by-nc-nd/2.5/
"Puna Teal","Spatula puna",,"Cristian Pinto",2019-08-03,10:00,"Parinacota, XV Region",Chile,-18.2023,-69.2684,4400,call,"bird-seen:yes playback-used:no",,498666,//creativecommons.org/licenses/by-nc-sa/4.0/
"Puna Teal","Spatula puna",,"Cristian Pinto",2019-08-03,10:00,"Parinacota, XV Region",Chile,-18.2023,-69.2684,4400,call,"bird-seen:yes playback-used:no",,498665,//creativecommons.org/licenses/by-nc-sa/4.0/
"Puna Teal","Spatula puna",,"Andrew Spencer",2011-11-20,09:20,"Parinacota, Parque Nacional Lauca, XV Region",Chile,-18.209,-69.273,4400,call,"calls from one of a pair with five chicks, while they were swimming away.",,90526,//creativecommons.org/licenses/by-nc-nd/2.5/
